SARO NUMBER,AMOUNT,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,PURPOSE,REMARKS
SARO-ROI-20-0004131,"137,000.00",03/25/2020 08:51:44,03/26/2020 10:03:14,07 - Department of Education (DepEd),001 - Office of the Secretary,"0901165 - Regional Science High School, La Union","To cover the 25% requirements of the 1st tranche compensation adjustments for FY 2020 pursuant to R.A. No. 11466 dated January 8, 2020 as implemented by NBC No. 579 dated January 24, 2020.",
SARO-ROII-20-0004130,"198,000.00",03/25/2020 08:51:38,03/25/2020 13:59:06,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800040 - Nueva Vizcaya 2nd District Engineering Office,"To cover the FY 2020 RLIP adjustment pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020",
SARO-ROII-20-0004129,"1,952,000.00",03/25/2020 08:51:15,03/25/2020 13:59:06,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800040 - Nueva Vizcaya 2nd District Engineering Office,"To cover the FY 2020 salary adjustment and related fixed expenditures pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020",
SARO-ROI-20-0004128,"65,000.00",03/25/2020 08:50:58,03/26/2020 10:03:14,07 - Department of Education (DepEd),001 - Office of the Secretary,0901163 - President Elpidio Quirino National High School,To cover the 25% RLIP requirements of the 1st tranche compensation adjustments for FY 2020.,
SARO-ROII-20-0004127,"237,000.00",03/25/2020 08:50:52,03/25/2020 13:59:06,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800039 - Nueva Vizcaya District Engineering Office,"To cover the FY 2020 RLIP adjustment pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020",
SARO-ROII-20-0004126,"2,329,000.00",03/25/2020 08:50:33,03/25/2020 13:59:06,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800039 - Nueva Vizcaya District Engineering Office,"To cover the FY 2020 salary adjustment and related fixed expenditures pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020",
SARO-ROI-20-0004125,"645,000.00",03/25/2020 08:50:14,03/26/2020 10:03:14,07 - Department of Education (DepEd),001 - Office of the Secretary,0901163 - President Elpidio Quirino National High School,"To cover the 25% requirements of the 1st tranche compensation adjustments for FY 2020 pursuant to R.A. No. 11466 dated January 8, 2020 as implemented by NBC No. 579 dated January 24, 2020.",
SARO-ROII-20-0004124,"130,000.00",03/25/2020 08:49:17,03/25/2020 13:59:06,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800031 - Batanes District Engineering Office,"To cover the FY 2020 RLIP adjustment pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020",
SARO-ROII-20-0004123,"1,280,000.00",03/25/2020 08:48:20,03/25/2020 13:59:06,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800031 - Batanes District Engineering Office,"To cover the FY 2020 salary adjustment and related fixed expenditures pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020",
SARO-ROII-20-0004122,"102,000.00",03/25/2020 08:37:06,03/25/2020 13:57:15,08 - State Universities and Colleges (SUCs),021 - Batanes State College,0000000 - Batanes State College,"To cover FY 2020 RLIP differential due to first tranche salary adjustment authorized under R. A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004121,"996,000.00",03/25/2020 08:36:49,03/25/2020 13:57:15,08 - State Universities and Colleges (SUCs),021 - Batanes State College,0000000 - Batanes State College,"To cover the FY 2020 salary adjustment and related fixed expenditures  pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004120,"2,053,000.00",03/25/2020 08:36:28,03/25/2020 13:57:15,08 - State Universities and Colleges (SUCs),022 - Cagayan State University,0000000 - Cagayan State University,"To cover FY 2020 RLIP differential due to first tranche salary adjustment authorized under R. A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004119,"20,161,000.00",03/25/2020 08:36:11,03/25/2020 13:57:15,08 - State Universities and Colleges (SUCs),022 - Cagayan State University,0000000 - Cagayan State University,"To cover the FY 2020 salary adjustment and related fixed expenditures  pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004118,"267,000.00",03/25/2020 08:35:39,03/25/2020 13:57:15,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600008 - Lasam National Agricultural School,"To cover FY 2020 RLIP differential due to first tranche salary adjustment authorized under R. A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004117,"2,631,000.00",03/25/2020 08:35:20,03/25/2020 13:57:15,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600008 - Lasam National Agricultural School,"To cover the FY 2020 salary adjustment and related fixed expenditures  pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004116,"200,000.00",03/25/2020 08:35:01,03/25/2020 13:57:15,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600007 - Aparri School of Arts and Trades,"To cover FY 2020 RLIP differential due to first tranche salary adjustment authorized under R. A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004115,"1,969,000.00",03/25/2020 08:34:44,03/25/2020 13:57:15,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600007 - Aparri School of Arts and Trades,"To cover the FY 2020 salary adjustment and related fixed expenditures  pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004114,"168,000.00",03/25/2020 08:34:14,03/25/2020 13:57:15,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800038 - Isabela 4th District Engineering Office,"To cover FY 2020 RLIP differential due to first tranche salary adjustment authorized under R. A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004113,"1,659,000.00",03/25/2020 08:33:43,03/25/2020 13:57:15,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800038 - Isabela 4th District Engineering Office,"To cover the FY 2020 salary adjustment and related fixed expenditures  pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004112,"682,000.00",03/25/2020 08:33:25,03/25/2020 13:57:15,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800037 - Isabela 3rd District Engineering Office,"To cover FY 2020 RLIP differential due to first tranche salary adjustment authorized under R. A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004111,"6,709,000.00",03/25/2020 08:33:06,03/25/2020 13:57:15,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800037 - Isabela 3rd District Engineering Office,"To cover the FY 2020 salary adjustment and related fixed expenditures  pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004110,"191,000.00",03/25/2020 08:32:49,03/25/2020 13:57:15,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800036 - Isabela 2nd District Engineering Office,"To cover FY 2020 RLIP differential due to first tranche salary adjustment authorized under R. A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004109,"1,881,000.00",03/25/2020 08:32:31,03/25/2020 13:57:15,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800036 - Isabela 2nd District Engineering Office,"To cover the FY 2020 salary adjustment and related fixed expenditures  pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004108,"176,000.00",03/25/2020 08:32:13,03/25/2020 13:57:15,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800035 - Isabela 1st District Engineering Office,"To cover FY 2020 RLIP differential due to first tranche salary adjustment authorized under R. A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004107,"1,731,000.00",03/25/2020 08:31:54,03/25/2020 13:57:15,18 - Department of Public Works and Highways (DPWH),001 - Office of the Secretary,1800035 - Isabela 1st District Engineering Office,"To cover the FY 2020 salary adjustment and related fixed expenditures  pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004106,"2,436,000.00",03/25/2020 08:30:46,03/25/2020 13:57:15,13 - Department of Health (DOH),001 - Office of the Secretary,1400024 - Cagayan Valley Medical Center,"To cover FY 2020 RLIP differential due to first tranche salary adjustment authorized under R. A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004105,"23,923,000.00",03/25/2020 08:30:30,03/25/2020 13:57:15,13 - Department of Health (DOH),001 - Office of the Secretary,1400024 - Cagayan Valley Medical Center,"To cover the FY 2020 salary adjustment and related fixed expenditures  pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004104,"267,000.00",03/25/2020 08:30:15,03/25/2020 13:57:15,13 - Department of Health (DOH),001 - Office of the Secretary,0300002 - Cagayan Valley Centers for Health Development,"To cover FY 2020 RLIP differential due to first tranche salary adjustment authorized under R. A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROII-20-0004103,"2,611,000.00",03/25/2020 08:29:59,03/25/2020 13:57:15,13 - Department of Health (DOH),001 - Office of the Secretary,0300002 - Cagayan Valley Centers for Health Development,"To cover the FY 2020 salary adjustment and related fixed expenditures  pursuant to R.A. No. 11466 as implemented by National Budget Circular No. 579 dated January 24, 2020.",
SARO-ROXIII-20-0004102,"15,000.00",03/24/2020 16:38:06,03/30/2020 08:29:39,07 - Department of Education (DepEd),001 - Office of the Secretary,0916079 - Libertad National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004101,"3,492,000.00",03/24/2020 16:37:51,03/30/2020 08:29:39,07 - Department of Education (DepEd),001 - Office of the Secretary,0816002 - Division of Agusan del Sur,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004100,"24,000.00",03/24/2020 16:37:13,03/30/2020 08:29:39,07 - Department of Education (DepEd),001 - Office of the Secretary,0916074 - La Paz National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004099,"241,000.00",03/24/2020 16:36:50,03/30/2020 08:29:39,07 - Department of Education (DepEd),001 - Office of the Secretary,0916074 - La Paz National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004098,"25,000.00",03/24/2020 16:36:28,03/30/2020 08:29:39,07 - Department of Education (DepEd),001 - Office of the Secretary,0916076 - Lapinigan National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004097,"251,000.00",03/24/2020 16:36:01,03/30/2020 08:29:39,07 - Department of Education (DepEd),001 - Office of the Secretary,0916076 - Lapinigan National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004096,"152,000.00",03/24/2020 16:35:39,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916079 - Libertad National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004095,"31,000.00",03/24/2020 16:35:19,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916080 - Loreto National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004094,"307,000.00",03/24/2020 16:34:58,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916080 - Loreto National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004093,"14,000.00",03/24/2020 16:34:34,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916081 - Los Arcos National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004092,"140,000.00",03/24/2020 16:34:08,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916081 - Los Arcos National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004091,"16,000.00",03/24/2020 16:33:45,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916082 - Lucena National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004090,"159,000.00",03/24/2020 16:33:24,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916082 - Lucena National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004089,"39,000.00",03/24/2020 16:33:02,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916102 - Sibagat National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004088,"385,000.00",03/24/2020 16:32:41,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916102 - Sibagat National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004087,"21,000.00",03/24/2020 16:32:12,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916053 - Datu Lipus Makapandong National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004086,"207,000.00",03/24/2020 16:31:43,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916053 - Datu Lipus Makapandong National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004085,"38,000.00",03/24/2020 16:31:06,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916036 - Nasipit National Vocational School,Release of allotment to cover 25% of the Retirement and Life Insurance Premium differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004084,"376,000.00",03/24/2020 16:30:45,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916036 - Nasipit National Vocational School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004083,"40,000.00",03/24/2020 16:30:25,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916028 - Magallanes National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premium differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004082,"398,000.00",03/24/2020 16:30:05,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916028 - Magallanes National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004081,"20,000.00",03/24/2020 16:29:45,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916025 - Las Nieves National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premium differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004080,"201,000.00",03/24/2020 16:29:24,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916025 - Las Nieves National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004079,"23,000.00",03/24/2020 16:29:04,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916022 - Jagupit National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premium differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004078,"223,000.00",03/24/2020 16:28:40,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916022 - Jagupit National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004077,"60,000.00",03/24/2020 16:28:18,03/30/2020 08:27:30,07 - Department of Education (DepEd),001 - Office of the Secretary,0916017 - Guinabsan National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premium differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004076,"593,000.00",03/24/2020 16:27:57,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916017 - Guinabsan National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004075,"33,000.00",03/24/2020 16:27:37,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916008 - Carmen National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premium differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004074,"329,000.00",03/24/2020 16:27:13,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916008 - Carmen National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004073,"35,000.00",03/24/2020 16:26:43,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916002 - Agay National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premium differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004072,"348,000.00",03/24/2020 16:26:17,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916002 - Agay National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004071,"1,687,000.00",03/24/2020 16:25:48,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0816001 - Division of Agusan del Norte,Release of allotment to cover 25% of the Retirement and Life Insurance Premium differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004070,"16,608,000.00",03/24/2020 16:25:12,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0816001 - Division of Agusan del Norte,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004069,"1,447,000.00",03/24/2020 16:22:53,03/30/2020 08:26:15,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,0300016 - Regional Office XIII,To cover funding requirements for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0004068,"148,000.00",03/24/2020 16:22:27,03/30/2020 08:26:15,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,0300016 - Regional Office XIII,Government counterpart in RLIP for the First Tranche compensation adjustment for FY 2020 pursuant to NBC 579.,
SARO-ROXIII-20-0004067,"34,396,000.00",03/24/2020 16:20:41,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0816002 - Division of Agusan del Sur,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004066,"104,000.00",03/24/2020 16:20:15,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916043 - Agusan del Sur National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004065,"1,025,000.00",03/24/2020 16:19:54,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916043 - Agusan del Sur National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004064,"47,000.00",03/24/2020 16:19:27,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916051 - Bunawan National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004063,"459,000.00",03/24/2020 16:19:04,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916051 - Bunawan National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004062,"33,000.00",03/24/2020 16:18:42,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916055 - Del Monte National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004061,"323,000.00",03/24/2020 16:18:19,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916055 - Del Monte National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004060,"7,000.00",03/24/2020 16:17:56,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916058 - Democrito O. Plaza Memorial High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004059,"62,000.00",03/24/2020 16:17:32,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916058 - Democrito O. Plaza Memorial High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROXIII-20-0004058,"46,000.00",03/24/2020 16:17:06,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916059 - Esperanza National High School,Release of allotment to cover 25% of the Retirement and Life Insurance Premiums differential due to the implementation of R.A. No. 11466 and NBC No. 579.,
SARO-ROXIII-20-0004057,"455,000.00",03/24/2020 16:16:43,03/30/2020 08:26:15,07 - Department of Education (DepEd),001 - Office of the Secretary,0916059 - Esperanza National High School,"Release of allotment to cover 25% of the 1st tranche of the compensation adjustment for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
SARO-ROI-20-0004056,"101,000.00",03/24/2020 15:58:50,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600005 - Pangasinan School of Arts and Trades,To cover the RLIP requirements of the 1st tranche compensation adjustments for FY 2020.,
SARO-ROI-20-0004055,"996,000.00",03/24/2020 15:58:11,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600005 - Pangasinan School of Arts and Trades,"To cover the requirements of the 1st tranche compensation adjustments for FY 2020 pursuant to R.A. No. 11466 dated January 8, 2020 as implemented by NBC No. 579 dated January 24, 2020.",
SARO-ROI-20-0004054,"35,000.00",03/24/2020 15:57:02,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600004 - Pangasinan Technological Institute,To cover the RLIP requirements of the 1st tranche compensation adjustments for FY 2020.,
SARO-ROI-20-0004053,"348,000.00",03/24/2020 15:54:47,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600004 - Pangasinan Technological Institute,"To cover the requirements of the 1st tranche compensation adjustments for FY 2020 pursuant to R.A. No. 11466 dated January 8, 2020 as implemented by NBC No. 579 dated January 24, 2020.",
SARO-ROI-20-0004052,"58,000.00",03/24/2020 15:54:08,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600003 - Luciano Milan Memorial School of Arts and Trades,To cover the RLIP requirements of the 1st tranche compensation adjustments for FY 2020.,
SARO-ROI-20-0004051,"570,000.00",03/24/2020 15:53:27,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600003 - Luciano Milan Memorial School of Arts and Trades,"To cover the requirements of the 1st tranche compensation adjustments for FY 2020 pursuant to R.A. No. 11466 dated January 8, 2020 as implemented by NBC No. 579 dated January 24, 2020.",
SARO-ROI-20-0004050,"51,000.00",03/24/2020 15:52:39,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600002 - Marcos Agro-Industrial School,To cover the RLIP requirements of the 1st tranche compensation adjustments for FY 2020.,
SARO-ROI-20-0004049,"506,000.00",03/24/2020 15:52:02,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600002 - Marcos Agro-Industrial School,"To cover the requirements of the 1st tranche compensation adjustments for FY 2020 pursuant to R.A. No. 11466 dated January 8, 2020 as implemented by NBC No. 579 dated January 24, 2020.",
SARO-ROI-20-0004048,"60,000.00",03/24/2020 15:51:23,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600001 - Bangui Institute of Technology (formerly Bangui School of Fisheries),To cover the RLIP requirements of the 1st tranche compensation adjustments for FY 2020.,
SARO-ROI-20-0004047,"592,000.00",03/24/2020 15:50:46,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,1600001 - Bangui Institute of Technology (formerly Bangui School of Fisheries),"To cover the requirements of the 1st tranche compensation adjustments for FY 2020 pursuant to R.A. No. 11466 dated January 8, 2020 as implemented by NBC No. 579 dated January 24, 2020.",
SARO-ROI-20-0004046,"28,000.00",03/24/2020 15:50:08,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,0300001 - Regional Office - I,To cover the RLIP requirements of the 1st tranche compensation adjustments for FY 2020.,
SARO-ROI-20-0004045,"273,000.00",03/24/2020 15:49:20,03/26/2020 10:03:14,22 - Department of Trade and Industry (DTI),009 - Technical Education and Skills Development Authority,0300001 - Regional Office - I,"To cover the requirements of the 1st tranche compensation adjustments for FY 2020 pursuant to R.A. No. 11466 dated January 8, 2020 as implemented by NBC No. 579 dated January 24, 2020.",
