NCA NUMBER,NCA TYPE,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,AMOUNT,PURPOSE,REMARKS
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Altavas National School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Buruanga Vocational School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Camansi National High School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Boracay National High School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Jose Borromeo Legaspi National High School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Aklan National High School for Arts and Trades,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Bacan National High School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Libacao National Forestry Vocational High School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Linayasan National High School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Makato Integrated School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Malinao School for Philippine Craftsmen,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Batan Academy (A National High School),"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,"Ciriaco L. Icamina, Sr. National High School (Bulabod National High School)","20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Gaudencio L. Vega National High School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVI-20-0004608,REG,03/26/20 11:20:44,03/26/2020 16:28:12,Department of Education (DepEd),Office of the Secretary,Bay-ang Mapag-ong National High School,"20,000.00",Release of funds for the clean-up and minor repair of schools in the Division of Aklan affected by Typhoon Ursula - Batch 1 (DMS Ref. No. 2020-ROVI-0034323),
NCA-ROVIII-20-0004607,REG,03/26/20 11:18:33,03/27/2020 14:47:39,Department of Education (DepEd),Office of the Secretary,Division of Calbayog City,"330,356,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche  of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROVIII-20-0004607,REG,03/26/20 11:18:33,03/27/2020 14:47:39,Department of Education (DepEd),Office of the Secretary,Rafael Lentejas Memorial School of Fisheries,"7,948,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche  of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579",
NCA-ROVII-20-0004606,REG,03/26/20 11:08:35,03/30/2020 14:53:40,Department of Education (DepEd),Office of the Secretary,Casiano Z. Napigkit National High School,"59,000.00",To cover additional operating requirements for the first semester of CY 2020,
NCA-ROVII-20-0004605,REG,03/26/20 11:05:39,03/30/2020 14:53:40,Department of Education (DepEd),Office of the Secretary,Demetrio Alviola National High School,"393,000.00",To cover additional operating requirements for the first semester of CY 2020,
NCA-ROVII-20-0004604,REG,03/26/20 11:04:18,03/30/2020 14:53:40,Department of Education (DepEd),Office of the Secretary,Dauin National High School,"442,000.00",To cover additional operating requirements for the first semester of CY 2020,
NCA-ROVII-20-0004603,TR,03/26/20 10:56:33,03/27/2020 12:09:28,Department of Education (DepEd),Office of the Secretary,Division of Bogo City,"103,900.00",To cover the withdrawal of trust receipts deposited with the Bureau of the Treasury,
NCA-ROVII-20-0004602,REG,03/26/20 10:55:48,03/27/2020 12:09:28,Department of Education (DepEd),Office of the Secretary,Juan Pamplona National High School (Tabuelan NHS),"1,897,000.00",To cover additional operating requirements for the first semester of CY 2020 due to filling of positions,
NCA-ROX-20-0004601,REG,03/26/20 10:44:44,03/27/2020 15:14:01,Department of Trade and Industry (DTI),Technical Education and Skills Development Authority,Lanao del Norte National Agro-Industrial School,"3,111,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROX-20-0004600,REG,03/26/20 10:44:44,03/27/2020 15:14:01,Department of Health (DOH),Office of the Secretary,Amai Pakpak Medical Center,"194,922,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROX-20-0004599,REG,03/26/20 10:44:43,03/27/2020 15:14:00,Department of Education (DepEd),Office of the Secretary,Maigo National High School,"7,316,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROVI-20-0004598,REG,03/26/20 10:38:09,03/26/2020 13:53:17,Department of Education (DepEd),Office of the Secretary,Bo. Obrero National High School (Jalandoni Memorial National High School - Bo. Obrero Extension),"334,000.00",Release of cash allocation to cover the first tranche of compensation adjustment (Regular PS and RLIP) authorized under RA No. 11466 as implemented by NBC 579 dated 24 January 2020. (January - June 2020),
NCA-ROVI-20-0004597,REG,03/26/20 10:38:08,03/26/2020 13:52:04,Department of Health (DOH),Office of the Secretary,Corazon Locsin-Montelibano Memorial Regional Hospital,"10,000,000.00",Release of cash allocation to cover additional operating requirements as per SAA No. 2020-02-0105. DMS Ref. No. 2020-ROVI-0034694,
NCA-ROVI-20-0004596,REG,03/26/20 10:38:08,03/26/2020 13:50:08,Department of Education (DepEd),Office of the Secretary,Concepcion Castro Garcia National High School,"182,490.00",To cover the FY 2020 1st and 2nd quarters requirements for the filling of one (1) Teacher I position (Reference No. 2020-ROVI-0034468).,
NCA-ROVI-20-0004595,REG,03/26/20 10:35:56,03/31/2020 11:42:34,Department of Education (DepEd),Office of the Secretary,Negros Occidental National Industrial School of Home Industries,"7,777,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579 (2020-ROVI-0034503).",
NCA-ROVI-20-0004594,REG,03/26/20 10:35:55,03/31/2020 11:42:34,Department of Education (DepEd),Office of the Secretary,Tinongon National High School,"3,002,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579 (2020-ROVI-0034503).",
NCA-ROVI-20-0004594,REG,03/26/20 10:35:55,03/31/2020 11:42:34,Department of Education (DepEd),Office of the Secretary,Payao National High School,"7,469,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579 (2020-ROVI-0034503).",
NCA-ROVI-20-0004593,REG,03/26/20 10:35:55,03/31/2020 11:42:33,Department of Education (DepEd),Office of the Secretary,Hinigaran National High School,"22,108,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579 (2020-ROVI-0034503).",
NCA-ROVI-20-0004593,REG,03/26/20 10:35:55,03/31/2020 11:42:33,Department of Education (DepEd),Office of the Secretary,Isabela National High School,"19,514,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579 (2020-ROVI-0034503).",
NCA-ROVI-20-0004593,REG,03/26/20 10:35:55,03/31/2020 11:42:33,Department of Education (DepEd),Office of the Secretary,Pahilanga National High School,"2,985,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579 (2020-ROVI-0034503).",
NCA-ROVI-20-0004593,REG,03/26/20 10:35:55,03/31/2020 11:42:33,Department of Education (DepEd),Office of the Secretary,La Castellana National High School,"22,677,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579 (2020-ROVI-0034503).",
NCA-ROVI-20-0004592,REG,03/26/20 10:35:12,03/31/2020 11:42:33,Department of Education (DepEd),Office of the Secretary,Cabacungan National High School,"8,391,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579.",
NCA-ROVI-20-0004592,REG,03/26/20 10:35:12,03/31/2020 11:42:33,Department of Education (DepEd),Office of the Secretary,Biao National High School,"2,566,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579.",
NCA-ROVI-20-0004592,REG,03/26/20 10:35:12,03/31/2020 11:42:33,Department of Education (DepEd),Office of the Secretary,Guinpanaan National High School,"14,078,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579.",
NCA-ROVI-20-0004592,REG,03/26/20 10:35:12,03/31/2020 11:42:33,Department of Education (DepEd),Office of the Secretary,Binalbagan National High School (Paglaum National High School),"13,051,000.00","To cover operating requirements for April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to March 2020) for civilian personnel including related costs, as authorized under RA No. 11466 and NBC No. 579.",
NCA-ROVI-20-0004591,REG,03/26/20 10:35:11,03/27/2020 14:31:41,Department of Education (DepEd),Office of the Secretary,Labi-labi National High School,"3,240,000.00",Release of cash allocation to cover requirements for the 2nd Quarter of FY 2020.,
NCA-ROVI-20-0004591,REG,03/26/20 10:35:11,03/27/2020 14:31:41,Department of Education (DepEd),Office of the Secretary,Tigbao National High School,"4,577,000.00",Release of cash allocation to cover requirements for the 2nd Quarter of FY 2020.,
NCA-ROVI-20-0004591,REG,03/26/20 10:35:11,03/27/2020 14:31:41,Department of Education (DepEd),Office of the Secretary,Toboso National High School,"8,192,000.00",Release of cash allocation to cover requirements for the 2nd Quarter of FY 2020.,
NCA-ROVI-20-0004591,REG,03/26/20 10:35:11,03/27/2020 14:31:41,Department of Education (DepEd),Office of the Secretary,Sofronio Carmona Memorial National High School,"6,714,500.00",Release of cash allocation to cover requirements for the 2nd Quarter of FY 2020.,
NCA-ROVI-20-0004591,REG,03/26/20 10:35:11,03/27/2020 14:31:41,Department of Education (DepEd),Office of the Secretary,Division of Negros Occidental,"1,301,875,500.00",Release of cash allocation to cover requirements for the 2nd Quarter of FY 2020.,
NCA-ROVI-20-0004590,REG,03/26/20 10:35:11,03/27/2020 14:31:16,Department of Education (DepEd),Office of the Secretary,Agpangi National High School,"2,781,000.00",Release of cash allocation to cover requirements for the 2nd Quarter of FY 2020.,
NCA-ROVI-20-0004590,REG,03/26/20 10:35:11,03/27/2020 14:31:16,Department of Education (DepEd),Office of the Secretary,Calatrava National High School,"15,213,500.00",Release of cash allocation to cover requirements for the 2nd Quarter of FY 2020.,
NCA-ROVI-20-0004590,REG,03/26/20 10:35:11,03/27/2020 14:31:16,Department of Education (DepEd),Office of the Secretary,Col. Griffin National High School,"6,219,000.00",Release of cash allocation to cover requirements for the 2nd Quarter of FY 2020.,
NCA-ROVI-20-0004590,REG,03/26/20 10:35:11,03/27/2020 14:31:16,Department of Education (DepEd),Office of the Secretary,Bug-ang National High School,"3,891,500.00",Release of cash allocation to cover requirements for the 2nd Quarter of FY 2020.,
NCA-ROVI-20-0004590,REG,03/26/20 10:35:11,03/27/2020 14:31:16,Department of Education (DepEd),Office of the Secretary,Andres Gumban Memorial National High School,"3,838,000.00",Release of cash allocation to cover requirements for the 2nd Quarter of FY 2020.,
NCA-ROX-20-0004589,REG,03/26/20 10:33:58,03/27/2020 15:14:00,Department of Education (DepEd),Office of the Secretary,Lanao del Norte National Comprehensive High School,"17,328,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROX-20-0004588,REG,03/26/20 10:33:58,03/27/2020 15:14:00,Department of Education (DepEd),Office of the Secretary,Lala National High School,"18,160,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROX-20-0004587,REG,03/26/20 10:33:57,03/27/2020 15:14:00,Department of Education (DepEd),Office of the Secretary,Kapatagan National High School,"14,628,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROX-20-0004586,REG,03/26/20 10:33:57,03/27/2020 15:13:59,Department of Education (DepEd),Office of the Secretary,Baloi National High School,"4,680,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROX-20-0004585,REG,03/26/20 10:33:56,03/27/2020 15:13:59,Department of Education (DepEd),Office of the Secretary,Division of Lanao del Norte,"685,929,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROX-20-0004584,REG,03/26/20 10:33:56,03/27/2020 15:13:59,Department of Education (DepEd),Office of the Secretary,Division of Misamis Occidental,"459,710,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROX-20-0004583,REG,03/26/20 10:33:55,03/27/2020 15:13:59,Department of Education (DepEd),Office of the Secretary,Clarin National High School,"16,258,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROX-20-0004582,REG,03/26/20 10:33:55,03/27/2020 15:13:58,Department of Education (DepEd),Office of the Secretary,Baliangao School of Fisheries,"6,135,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROX-20-0004581,REG,03/26/20 10:33:54,03/27/2020 15:13:58,Department of Education (DepEd),Office of the Secretary,Aloran Trade High School,"12,824,000.00","To cover regular operating and RLIP requirements for the second quarter (April to June, 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June, 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004580,REG,03/26/20 10:33:37,03/27/2020 15:57:21,Department of Education (DepEd),Office of the Secretary,Sicayab National High School,"126,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004579,REG,03/26/20 10:33:37,03/27/2020 15:54:37,Department of Education (DepEd),Office of the Secretary,Vitali National High School,"7,617,000.00",To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs as authorized under R.A. no 11466 and NBC no. 579,
NCA-ROIX-20-0004579,REG,03/26/20 10:33:37,03/27/2020 15:54:37,Department of Education (DepEd),Office of the Secretary,Zamboanga City National High School (Main),"48,505,000.00",To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs as authorized under R.A. no 11466 and NBC no. 579,
NCA-ROIX-20-0004579,REG,03/26/20 10:33:37,03/27/2020 15:54:37,Department of Education (DepEd),Office of the Secretary,Regional Science High School (Zamboanga Regional Science High School),"4,195,000.00",To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs as authorized under R.A. no 11466 and NBC no. 579,
NCA-ROIX-20-0004579,REG,03/26/20 10:33:37,03/27/2020 15:54:37,Department of Education (DepEd),Office of the Secretary,Southcom National High School,"11,751,000.00",To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs as authorized under R.A. no 11466 and NBC no. 579,
NCA-ROIX-20-0004579,REG,03/26/20 10:33:37,03/27/2020 15:54:37,Department of Education (DepEd),Office of the Secretary,Zamboanga City National High School (West),"39,225,000.00",To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs as authorized under R.A. no 11466 and NBC no. 579,
NCA-ROIX-20-0004579,REG,03/26/20 10:33:37,03/27/2020 15:54:37,Department of Education (DepEd),Office of the Secretary,Mercedes National High School,"8,193,000.00",To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs as authorized under R.A. no 11466 and NBC no. 579,
NCA-CAR-20-0004578,REG,03/26/20 10:31:51,03/26/2020 12:37:11,Department of Education (DepEd),Office of the Secretary,Eastern Bontoc National Agricultural Vocational High School,"294,081.00",Release of cash allocation to cover the FY 2020 first quarter regular Personnel Services and Retirement and Life Insurance Premiums requirements of two (2) teaching and two (2) non-teaching filled vacant positions.,
NCA-ROIX-20-0004577,REG,03/26/20 10:31:46,03/27/2020 15:57:21,Department of Education (DepEd),Office of the Secretary,Malangas National High School,"8,553,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004577,REG,03/26/20 10:31:46,03/27/2020 15:57:21,Department of Education (DepEd),Office of the Secretary,Francisco Ramos National High School,"10,932,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004576,REG,03/26/20 10:31:45,03/27/2020 15:57:20,Department of Education (DepEd),Office of the Secretary,Diplahan National High School,"10,069,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004576,REG,03/26/20 10:31:45,03/27/2020 15:57:20,Department of Education (DepEd),Office of the Secretary,Ipil National High School,"7,527,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004576,REG,03/26/20 10:31:45,03/27/2020 15:57:20,Department of Education (DepEd),Office of the Secretary,Naga National High School,"6,667,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004576,REG,03/26/20 10:31:45,03/27/2020 15:57:20,Department of Education (DepEd),Office of the Secretary,Division of Zamboanga Sibugay,"867,548,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004576,REG,03/26/20 10:31:45,03/27/2020 15:57:20,Department of Education (DepEd),Office of the Secretary,Alicia National High School,"10,300,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004576,REG,03/26/20 10:31:45,03/27/2020 15:57:20,Department of Education (DepEd),Office of the Secretary,Imelda National High School,"9,006,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004576,REG,03/26/20 10:31:45,03/27/2020 15:57:20,Department of Education (DepEd),Office of the Secretary,Kabasalan National High School,"10,943,000.00","To cover the regular operating and RLIP requirements for the second quarter (ApriI to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004575,REG,03/26/20 10:31:44,03/27/2020 15:50:28,State Universities and Colleges (SUCs),Tawi-Tawi Regional Agricultural College,,"27,060,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004574,REG,03/26/20 10:31:44,03/27/2020 15:50:28,State Universities and Colleges (SUCs),Western Mindanao State University,,"206,320,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004573,REG,03/26/20 10:31:43,03/27/2020 15:50:27,State Universities and Colleges (SUCs),Jose Rizal Memorial State University,,"104,244,000.00","To cover the regular operating and RLIP requirements for the second quarter (April to June 2020). Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004572,REG,03/26/20 10:31:43,03/27/2020 15:54:36,Department of Education (DepEd),Office of the Secretary,Balongating National High School,"4,151,000.00","To cover the regular operating  and RLIP requirements for the second quarter (April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004572,REG,03/26/20 10:31:43,03/27/2020 15:54:36,Department of Education (DepEd),Office of the Secretary,Bayog National Technical-Vocational High School,"11,276,000.00","To cover the regular operating  and RLIP requirements for the second quarter (April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004572,REG,03/26/20 10:31:43,03/27/2020 15:54:36,Department of Education (DepEd),Office of the Secretary,Dinas National High School,"6,889,000.00","To cover the regular operating  and RLIP requirements for the second quarter (April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004572,REG,03/26/20 10:31:43,03/27/2020 15:54:36,Department of Education (DepEd),Office of the Secretary,Kabatan National High School,"6,950,000.00","To cover the regular operating  and RLIP requirements for the second quarter (April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004572,REG,03/26/20 10:31:43,03/27/2020 15:54:36,Department of Education (DepEd),Office of the Secretary,Dimataling National High School,"4,291,000.00","To cover the regular operating  and RLIP requirements for the second quarter (April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004572,REG,03/26/20 10:31:43,03/27/2020 15:54:36,Department of Education (DepEd),Office of the Secretary,Commonwealth National High School,"9,672,000.00","To cover the regular operating  and RLIP requirements for the second quarter (April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
NCA-ROIX-20-0004572,REG,03/26/20 10:31:43,03/27/2020 15:54:36,Department of Education (DepEd),Office of the Secretary,Division of Zamboanga del Sur,"1,270,747,000.00","To cover the regular operating  and RLIP requirements for the second quarter (April to June 2020. Also included in this release is the 1st tranche of the compensation adjustment (January to June 2020) for civilian personnel including related costs, as authorized under R.A. No. 11466 and NBC No. 579.",
